,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,514.1511349481152,514.1511349481153,514.1511349481153,168.68734222649803,170.348979109483,170.348979109483,1202.2464939971576,1202.2464939971576,1202.2464939971576,514.1511349481154,514.1511349481153,514.1511349481153,1202.2464939971574,169.8579317377046,170.348979109483,169.8579317377046
1,172.77363458972025,172.77363458972036,172.77363458972036,172.69015813189696,171.028521248912,171.028521248912,860.8689936387626,860.8689936387626,860.8689936387626,172.77363458972047,172.77363458972036,172.77363458972036,860.8689936387624,171.5195686206904,171.028521248912,171.5195686206904
2,518.2374273113375,518.2374273113376,518.2374273113376,172.77363458972022,174.43527147270518,174.43527147270518,1206.3327863603797,1206.3327863603797,1206.3327863603797,518.2374273113377,518.2374273113376,518.2374273113376,1206.3327863603795,173.9442241009268,174.43527147270518,173.9442241009268
3,516.5757904283522,516.5757904283523,516.5757904283523,171.11199770673502,172.77363458972,172.77363458972,1204.6711494773947,1204.6711494773947,1204.6711494773947,516.5757904283524,516.5757904283523,516.5757904283523,1204.6711494773945,172.2825872179416,172.77363458972,172.2825872179416
4,515.3217244593221,515.3217244593222,515.3217244593222,169.85793173770492,171.51956862068988,171.51956862068988,1203.4170835083646,1203.4170835083646,1203.4170835083646,515.3217244593224,515.3217244593222,515.3217244593222,1203.4170835083642,171.0285212489115,171.51956862068988,171.0285212489115
5,515.3217244593222,515.3217244593221,515.3217244593221,860.7855171809395,859.1238802979544,859.1238802979544,172.77363458972013,172.77363458972013,172.77363458972013,515.321724459322,515.3217244593221,515.3217244593221,172.7736345897199,859.6149276697329,859.1238802979544,859.6149276697329
6,518.2374273113355,518.2374273113354,518.2374273113354,863.7012200329527,862.0395831499677,862.0395831499677,169.85793173770685,169.85793173770685,169.85793173770685,518.2374273113353,518.2374273113354,518.2374273113354,169.85793173770662,862.5306305217462,862.0395831499677,862.5306305217462
7,172.77363458972025,172.77363458972036,172.77363458972036,172.69015813189696,171.028521248912,171.028521248912,860.8689936387626,860.8689936387626,860.8689936387626,172.77363458972047,172.77363458972036,172.77363458972036,860.8689936387624,171.5195686206904,171.028521248912,171.5195686206904
8,1.1368683772161603e-13,0.0,0.0,345.4637927216173,343.80215583863236,343.80215583863236,688.0953590490423,688.0953590490423,688.0953590490423,1.1368683772161603e-13,0.0,0.0,688.095359049042,344.29320321041075,343.80215583863236,344.29320321041075
9,516.5757904283523,516.5757904283523,516.5757904283523,171.11199770673505,172.77363458972002,172.77363458972002,1204.6711494773947,1204.6711494773947,1204.6711494773947,516.5757904283525,516.5757904283523,516.5757904283523,1204.6711494773945,172.28258721794163,172.77363458972002,172.28258721794163
